"term","sum(count)","perc"
"one",14188,0.025966515128222
"can",10356,0.0189532866272813
"will",9668,0.0176941266041479
"must",7210,0.0131955578005696
"may",6411,0.0117332484132388
"reason",6394,0.0117021354475509
"nature",6282,0.0114971559089012
"therefore",6252,0.0114422506753344
"things",5128,0.00938513459102922
"first",5009,0.00916734383121399
"also",4971,0.0090977972020293
"upon",4945,0.00905021266627135
"without",4927,0.00901726952613123
"ideas",4917,0.00899896778160894
"even",4649,0.00850848102841163
"idea",4577,0.00837670846785116
"mind",4503,0.00824127555838623
"object",4448,0.00814061596351364
"thus",4441,0.00812780474234804
"concept",4259,0.0077947129920424
"time",4258,0.00779288281759017
"self",4156,0.00760620502346284
"god",3957,0.00724200030746931
"since",3886,0.00711205792136106
"two",3866,0.00707545443231649
"existence",3782,0.00692171977832927
"nothing",3782,0.00692171977832927
"part",3737,0.00683936192797898
"something",3679,0.00673321180974971
"great",3528,0.00645685546746316
"every",3415,0.00625004575436131
"general",3413,0.00624638540545685
"another",3412,0.00624455523100462
"now",3386,0.00619697069524667
"man",3371,0.00616951807846324
"yet",3371,0.00616951807846324
"different",3363,0.00615487668284541
"consciousness",3358,0.00614572581058426
"thing",3350,0.00613108441496643
"good",3326,0.00608716022811294
"power",3279,0.00600114202885819
"though",3234,0.00591878417850789
"order",3221,0.00589499191062892
"form",3212,0.00587852034055886
"much",3202,0.00586021859603657
"way",3190,0.00583825650260983
"make",3182,0.005823615106992
"men",3135,0.00573759690773725
"however",3022,0.00553078719463539
"body",2978,0.00545025951873733
"just",2959,0.00541548620414498
"particular",2954,0.00540633533188384
"always",2911,0.005327637830438
"world",2864,0.00524161963118324
"pure",2837,0.00519220492097307
"cause",2777,0.00508239445383934
"necessary",2756,0.00504396079034254
"objects",2738,0.00501101765020242
"certain",2733,0.00500186677794127
"natural",2698,0.00493781067211327
"matter",2683,0.00491035805532983
"far",2681,0.00490669770642538
"law",2659,0.00486643386847634
"thought",2657,0.00486277351957189
"relation",2631,0.00481518898381394
"whole",2588,0.0047364914823681
"see",2576,0.00471452938894135
"still",2548,0.00466328450427895
"present",2539,0.00464681293420889
"state",2484,0.00454615333933631
"made",2479,0.00453700246707516
"means",2479,0.00453700246707516
"well",2479,0.00453700246707516
"either",2452,0.00448758775686498
"understanding",2452,0.00448758775686498
"knowledge",2447,0.00447843688460384
"never",2439,0.00446379548898601
"use",2438,0.00446196531453378
"given",2436,0.00445830496562932
"say",2420,0.00442902217439366
"truth",2401,0.00439424885980132
"possible",2367,0.00433202292842554
"produce",2367,0.00433202292842554
"subject",2366,0.00433019275397331
"universal",2347,0.00429541943938096
"true",2343,0.00428809874157205
"merely",2288,0.00418743914669946
"might",2256,0.00412887356422814
"unity",2253,0.00412338304087146
"human",2248,0.00411423216861031
"whether",2238,0.00409593042408802
"according",2192,0.0040117423992855
"case",2187,0.00400259152702436
"price",2167,0.00396598803797978
"know",2155,0.00394402594455304
"sense",2153,0.00394036559564858
"greater",2149,0.00393304489783966
"others",2132,0.00390193193215177
"many",2122,0.00388363018762948
"principle",2122,0.00388363018762948
"determination",2076,0.00379944216282696
"rather",2073,0.00379395163947027
"experience",2066,0.00378114041830467
"simple",2035,0.00372440501028558
"said",2023,0.00370244291685884
"content",2017,0.00369146187014546
"end",1983,0.00362923593876968
"parts",1963,0.00359263244972511
"people",1941,0.00355236861177607
"think",1911,0.00349746337820921
"absolute",1909,0.00349380302930475
"essence",1905,0.00348648233149584
"real",1897,0.00347184093587801
"latter",1888,0.00345536936580795
"external",1872,0.00342608657457229
"value",1865,0.00341327535340669
"like",1861,0.00340595465559777
"less",1851,0.00338765291107548
"right",1840,0.00336752099210097
"within",1802,0.00329797436291627
"shall",1785,0.00326686139722838
"motion",1780,0.00325771052496724
"laws",1775,0.0032485596527061
"soul",1770,0.00323940878044495
"find",1762,0.00322476738482712
"fact",1748,0.00319914494249592
"life",1744,0.003191824244687
"bodies",1732,0.00316986215126026
"country",1732,0.00316986215126026
"labour",1720,0.00314790005783351
"freedom",1718,0.00314423970892906
"action",1714,0.00313691901112014
"give",1703,0.00311678709214562
"principles",1699,0.00310946639433671
"infinite",1690,0.00309299482426665
"kind",1687,0.00308750430090996
"immediate",1676,0.00306737238193545
"place",1667,0.00305090081186539
"contrary",1657,0.0030325990673431
"called",1648,0.00301612749727304
"determined",1646,0.00301246714836858
"hence",1635,0.00299233522939407
"quantity",1621,0.00296671278706286
"moral",1608,0.00294292051918389
"common",1598,0.0029246187746616
"free",1598,0.0029246187746616
"love",1598,0.0029246187746616
"substance",1587,0.00290448685568708
"manner",1583,0.00289716615787817
"spirit",1575,0.00288252476226034
"indeed",1553,0.00284226092431131
"difference",1543,0.00282395917978902
"pleasure",1543,0.00282395917978902
"ground",1531,0.00280199708636227
"already",1521,0.00278369534183998
"cognition",1520,0.00278186516738776
"respect",1502,0.00274892202724764
"force",1487,0.00272146941046421
"reflection",1480,0.0027086581892986
"necessity",1479,0.00270682801484638
"point",1468,0.00268669609587186
"makes",1464,0.00267937539806294
"take",1464,0.00267937539806294
"thinking",1462,0.00267571504915849
"number",1461,0.00267388487470626
"consequently",1454,0.00266107365354066
"regard",1449,0.00265192278127951
"effect",1448,0.00265009260682728
"second",1443,0.00264094173456614
"least",1426,0.00260982876887825
"reality",1422,0.00260250807106933
"causes",1397,0.00255675370976361
"concepts",1391,0.00254577266305024
"supposed",1391,0.00254577266305024
"taken",1388,0.00254028213969356
"mere",1378,0.00252198039517127
"whose",1377,0.00252015022071904
"interest",1371,0.00250916917400567
"immediately",1368,0.00250367865064898
"new",1363,0.00249452777838784
"little",1348,0.0024670751616044
"become",1340,0.00245243376598657
"sensible",1332,0.00243779237036874
"words",1322,0.00241949062584646
"necessarily",1321,0.00241766045139423
"determinateness",1308,0.00239386818351525
"money",1299,0.00237739661344519
"person",1293,0.00236641556673182
"individual",1292,0.00236458539227959
"alone",1291,0.00236275521782736
"perhaps",1285,0.00235177417111399
"act",1276,0.00233530260104393
"seems",1275,0.0023334724265917
"imagination",1272,0.00232798190323502
"found",1266,0.00231700085652164
"hand",1264,0.00231334050761719
"question",1261,0.0023078499842605
"distinct",1260,0.00230601980980827
"senses",1251,0.00228954823973821
"able",1242,0.00227307666966815
"posited",1241,0.00227124649521592
"equally",1234,0.00225843527405032
"society",1233,0.00225660509959809
"abstract",1225,0.00224196370398026
"capital",1221,0.00223464300617135
"duty",1216,0.0022254921339102
"judgment",1214,0.00222183178500575
"together",1212,0.00221817143610129
"land",1208,0.00221085073829237
"moment",1187,0.00217241707479557
"determinations",1185,0.00216875672589111
"priori",1185,0.00216875672589111
"anything",1171,0.00214313428355991
"actual",1141,0.00208822904999305
"virtue",1140,0.00208639887554082
"clear",1132,0.00207175747992299
"empirical",1126,0.00206077643320961
"objective",1116,0.00204247468868733
"ever",1111,0.00203332381642618
"several",1110,0.00203149364197395
"minds",1107,0.00202600311861727
"considered",1100,0.00201319189745167
"former",1096,0.00200587119964275
"neither",1096,0.00200587119964275
"although",1086,0.00198756945512046
"consider",1082,0.00198024875731155
"thereby",1080,0.00197658840840709
"view",1077,0.0019710978850504
"entirely",1069,0.00195645648943257
"often",1066,0.00195096596607589
"account",1063,0.0019454754427192
"absolutely",1057,0.00193449439600583
